product_name,price,source,product_url,image_url
HP DeskJet 2622 All-in-One Wi-Fi Inkjet Printer (White),"Rs. 3,999",amazon.in,https://www.amazon.in/HP-DeskJet-2622-Inkjet-Printer/dp/B0752J9JQQ/ref=sr_1_40?ie=UTF8&qid=1532928047&sr=8-40&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/31AnMZDyQlL._AC_US218_.jpg
HP Desktop C2500 Keyboard+Mouse,Rs. 785,amazon.in,https://www.amazon.in/HP-Desktop-C2500-Keyboard-Mouse/dp/B00CSK1WC0/ref=sr_1_41?ie=UTF8&qid=1532928047&sr=8-41&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/41TZLUp25fL._AC_US218_.jpg
"HP 15-BS542TU 2017 15.6-inch Laptop (6th Gen Intel Core i3-6006U/4GB/1TB/DOS/Integrated Graphics), Sparkling Black","Rs. 25,970",amazon.in,https://www.amazon.in/HP-15-BS542TU-15-6-inch-Integrated-Sparkling/dp/B0748PRJHZ/ref=sr_1_42?ie=UTF8&qid=1532928047&sr=8-42&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/516cvYs2KVL._AC_US218_.jpg
HP Zink 20SH Gls Adh Photo Paper (Pack of 20),Rs. 512.05,amazon.in,https://www.amazon.in/HP-Zink-20SH-Photo-Paper/dp/B01LW1AL6Y/ref=sr_1_43?ie=UTF8&qid=1532928047&sr=8-43&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/519W21qGIrL._AC_US218_.jpg
HP Laserjet Tonner 12 A - Q2612A,Rs. 699,amazon.in,https://www.amazon.in/HP-Laserjet-Tonner-12-Q2612A/dp/B00XI1X87A/ref=sr_1_44?ie=UTF8&qid=1532928047&sr=8-44&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/41eDJDLIyvL._AC_US218_.jpg
HP 803 Tri-Color Original Ink Cartridge,Rs. 943,amazon.in,https://www.amazon.in/HP-803-Tri-Color-Original-Cartridge/dp/B014AK5FJQ/ref=sr_1_45?ie=UTF8&qid=1532928047&sr=8-45&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/51fZa4GDd7L._AC_US218_.jpg
HP Z3700 Wireless Mouse (Black),Rs. 948,amazon.in,https://www.amazon.in/HP-Z3700-Wireless-Mouse-Black/dp/B01FNRWFO8/ref=sr_1_46?ie=UTF8&qid=1532928047&sr=8-46&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/31EX4pieO7L._AC_US218_.jpg
HP 1020 Plus Single Function Monochrome Laser Printer,"Rs. 10,690",amazon.in,https://www.amazon.in/HP-Single-Function-Monochrome-Printer/dp/B00741G8FO/ref=sr_1_47?ie=UTF8&qid=1532928047&sr=8-47&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/41KAm2uxbrL._AC_US218_.jpg
HP X900 USB Mouse (Black),Rs. 239,amazon.in,https://www.amazon.in/HP-X900-USB-Mouse-Black/dp/B01G8NHMGW/ref=sr_1_48?ie=UTF8&qid=1532928047&sr=8-48&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/4184utSMDjL._AC_US218_.jpg
HP Deskjet 703 Ink Cartridge (Black),Rs. 617.50,amazon.in,https://www.amazon.in/HP-Deskjet-703-Cartridge-Black/dp/B005633B5C/ref=sr_1_49?ie=UTF8&qid=1532928047&sr=8-49&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/51gHHr4cnML._AC_US218_.jpg
"HP 802 Ink Cartridge, Twin-Pack (Black)",Rs. 981.35,amazon.in,https://www.amazon.in/HP-802-Cartridge-Twin-Pack-Black/dp/B00V0AKVOE/ref=sr_1_50?ie=UTF8&qid=1532928047&sr=8-50&keywords=hp,https://images-eu.ssl-images-amazon.com/images/I/41g7rzOlFVL._AC_US218_.jpg
HP Envy 13-ah0043TX 13.3-inch FHD Laptop with Privacy Screen (8th Gen Intel Core i5-8250U/8GB DDR3/256 GB SSD/NVIDIA MX150 2GB DDR5 Graphics/Win 10) Natural Silver,"Rs. 76,490",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_2?ie=UTF8&adId=A08386252PJ1TZLBFOB3Q&url=https%3A%2F%2Fwww.amazon.in%2FHP-13-ah0043TX-13-3-inch-i5-8250U-Graphics%2Fdp%2FB07DW444SS%2Fref%3Dsr_1_51_sspa%3Fie%3DUTF8%26qid%3D1532928047%26sr%3D8-51-spons%26keywords%3Dhp%26psc%3D1&qualifier=1532928047&id=8996467529737782&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41ZrdIbsHDL._AC_US218_.jpg
"Lenovo 80XV00LQIN 15.6-inch Laptop (E2-9000/4GB/1TB/Free-Dos/Integrated Graphics), Black","Rs. 17,990",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A00946633HFR5B29DSPG6&url=https%3A%2F%2Fwww.amazon.in%2FLenovo-80XV00LQIN-15-6-inch-Free-Dos-Integrated%2Fdp%2FB079YRTTW3%2Fref%3Dsr_1_52_sspa%3Fie%3DUTF8%26qid%3D1532928047%26sr%3D8-52-spons%26keywords%3Dhp%26psc%3D1&qualifier=1532928047&id=8996467529737782&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41nR87jWnYL._AC_US218_.jpg
"HP PRINTER black/coloured, scan,photocopy ,",Rs. 500,olx.in,https://www.olx.in/item/hp-printer-black-coloured-scan-photocopy-ID1mjAER.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/ajza6sdfh4f42-IN/image;s=144x108;in_;slot=1;filename=ajza6sdfh4f42-IN_.jpg
Excellent condition**selected laptops**Hp**DELL**LENOVO**available,Rs. 13499,olx.in,https://www.olx.in/item/excellent-conditionselected-laptopshpdelllenovoavailable-ID1mjAsn.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/trqr3t7jh4qv-IN/image;s=144x108;in_;slot=1;filename=trqr3t7jh4qv-IN_.jpg
Brand New Besten 1.5 HP Heavy duty Jet Pump with Warranty For Sale,Rs. 16000,olx.in,https://www.olx.in/item/brand-new-besten-1-5-hp-heavy-duty-jet-pump-with-warranty-for-sale-ID1mjAnD.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/694xo757lt61-IN/image;s=144x108;in_;slot=1;filename=694xo757lt61-IN_.jpg
