product_name,price,source,product_url,image_url
Apple Mac Pro: 3.0GHz 8-Core Intel Xeon E5 (MQGG2HN/A),"Rs. 3,04,800",amazon.in,https://www.amazon.in/Apple-Mac-Pro-3-0GHz-MQGG2HN/dp/B073Y97WQW/ref=sr_1_35?ie=UTF8&qid=1532870469&sr=8-35&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/314mjuudkML._AC_US218_.jpg
Kuzy 13-inch Rubberized Hard Case See-through Cover for New Apple MacBook Air 13.3-inch (Blue),"Rs. 2,499",amazon.in,https://www.amazon.in/Kuzy-13-inch-Rubberized-See-through-13-3-inch/dp/B007K09CIE/ref=sr_1_36?ie=UTF8&qid=1532870469&sr=8-36&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/31nNL5TWj2L._AC_US218_.jpg
Leaderachi Hunter Leather Crossbody Messenger Bag,"Rs. 3,599",amazon.in,https://www.amazon.in/Leaderachi-Hunter-Leather-Crossbody-Messenger/dp/B00W97CMK8/ref=sr_1_37?ie=UTF8&qid=1532870469&sr=8-37&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41CNZZIBoML._AC_US218_.jpg
Brain Freezer Germany Flag Printed Design Hard Cover Case laptop Case For Macbook air 13 inch + keyboard cover + Dust plugs,Rs. 990,amazon.in,https://www.amazon.in/Brain-Freezer-Germany-Printed-keyboard/dp/B073VP5T6B/ref=sr_1_38?ie=UTF8&qid=1532870469&sr=8-38&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41QGn6mJm7L._AC_US218_.jpg
"RAS Frosted Finish Red Case for Macbook Air 13"" for Model A1369 & A1466",Rs. 999,amazon.in,https://www.amazon.in/RAS-Frosted-Finish-Macbook-Model/dp/B06Y2XSJZJ/ref=sr_1_39?ie=UTF8&qid=1532870469&sr=8-39&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/31Iux0U-bjL._AC_US218_.jpg
Snoogg Abstract Black Pattern Design 13 Inch Laptop Case Flip Sleeve Bag Computer Cover,Rs. 545,amazon.in,https://www.amazon.in/Snoogg-Abstract-Pattern-Design-Computer/dp/B06Y4PF2MD/ref=sr_1_40?ie=UTF8&qid=1532870469&sr=8-40&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41BjP-UFFZL._AC_US218_.jpg
Btindi Hard Matte Rubberised Case for Macbook Pro Retina 13.3 -Blue,Rs. 790,amazon.in,https://www.amazon.in/Btindi-Matte-Rubberised-Macbook-Retina/dp/B00VEAA2TY/ref=sr_1_41?ie=UTF8&qid=1532870469&sr=8-41&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/31xHL0y7y4L._AC_US218_.jpg
Laptop Stand-Aluminum Adjustable Portable for Laptop/Notebook/ipad/Macbook,Rs. 699,amazon.in,https://www.amazon.in/Stand-Aluminum-Adjustable-Portable-Notebook-Macbook/dp/B0716LHGRB/ref=sr_1_42?ie=UTF8&qid=1532870469&sr=8-42&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41ZIc5j23+L._AC_US218_.jpg
Saco Ultra Clear Top Guard for Apple MacBook Air MJVE2HN/A 13-inch Laptop,Rs. 435,amazon.in,https://www.amazon.in/Saco-MacBook-MJVE2HN-13-inch-Laptop/dp/B017M87G7M/ref=sr_1_43?ie=UTF8&qid=1532870469&sr=8-43&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/31q6kvUWJuL._AC_US218_.jpg
Microware Wired Optical 3 Button Car Shaped PC Mouse with Scrollwheel and LED Lights,Rs. 599,amazon.in,https://www.amazon.in/Microware-Optical-Button-Shaped-Scrollwheel/dp/B07BTZLN9X/ref=sr_1_44?ie=UTF8&qid=1532870469&sr=8-44&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41LMJAdQCiL._AC_US218_.jpg
Snoogg Scooter Rains 13 inch Laptop Case Flip Sleeve Bag Computer Cover,Rs. 545,amazon.in,https://www.amazon.in/Snoogg-Scooter-Laptop-Sleeve-Computer/dp/B06Y4LZXYJ/ref=sr_1_45?ie=UTF8&qid=1532870469&sr=8-45&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/51z-IEUtqNL._AC_US218_.jpg
Snoogg Grey Light Pattern Design 13 Inch Laptop Case Flip Sleeve Bag Computer Cover,Rs. 545,amazon.in,https://www.amazon.in/Snoogg-Pattern-Design-Laptop-Computer/dp/B06Y4SNPVT/ref=sr_1_46?ie=UTF8&qid=1532870469&sr=8-46&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/51FYvRkcjxL._AC_US218_.jpg
Case Logic Sleeve with Retina Display for 13.3-Inch Laptops and MacBook Air/MacBook Pro - Purple (LAPS-113Purple),"Rs. 1,808.73",amazon.in,https://www.amazon.in/Case-Logic-Display-13-3-Inch-Laptops/dp/B00BCMIM8C/ref=sr_1_47?ie=UTF8&qid=1532870469&sr=8-47&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/51dyDopnEvL._AC_US218_.jpg
GADGETS WRAP Apple Macbook Air 13 inch Printed Skin for Top Only - WALKING SACRED ELEPHANT PATTERN,"Rs. 1,000",amazon.in,https://www.amazon.in/GADGETS-WRAP-Apple-Macbook-Printed/dp/B078GKNSQZ/ref=sr_1_48?ie=UTF8&qid=1532870469&sr=8-48&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/61ew8dWHq7L._AC_US218_.jpg
Snoogg Locked Hearts 13 inch Laptop Case Flip Sleeve Bag Computer Cover,Rs. 599,amazon.in,https://www.amazon.in/Snoogg-Locked-Hearts-Laptop-Computer/dp/B06Y4C876M/ref=sr_1_49?ie=UTF8&qid=1532870469&sr=8-49&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41AnxUDekEL._AC_US218_.jpg
Kmltail 13.3 inch Laptop Bag Sleeve for Apple MacBook Air MQD32HN/A 13.3-inch Laptop 2017 Messenger Style Slim Sleek Best Quality Convertible to Vertical Horizontal backpack. Cool Cute Designer Rugged Light Weight Travel for Boys Men Girl Women,Rs. 350,amazon.in,https://www.amazon.in/13-3-inch-Messenger-Convertible-Horizontal-backpack/dp/B0745CVCWG/ref=sr_1_50?ie=UTF8&qid=1532870469&sr=8-50&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/4144Nq+aAML._AC_US218_.jpg
