product_name,price,source,product_url,image_url
"running, good condition 1hp crompton motor 72.78.064.323",Rs. 2300,olx.in,https://www.olx.in/item/running-good-condition-1hp-crompton-motor-72-78-064-323-ID1mjyhP.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/7fgnpvczbaa2-IN/image;s=144x108;in_;slot=1;filename=7fgnpvczbaa2-IN_.jpg
Hp elite book 8460b i5 2nd gen 4gb ram 320gb hdd,Rs. 12500,olx.in,https://www.olx.in/item/hp-elite-book-8460b-i5-2nd-gen-4gb-ram-320gb-hdd-ID1mjygl.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/hk67fxpixw6u3-IN/image;s=144x108;in_;slot=1;filename=hk67fxpixw6u3-IN_.jpg
Hp Laptop 160GB HDD 1GB RAM Çore 2Duo,Rs. 10000,olx.in,https://www.olx.in/item/hp-laptop-160gb-hdd-1gb-ram-ore-2duo-ID1mjy8x.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/gsnnfsxgn8c43-IN/image;s=144x108;in_;slot=1;filename=gsnnfsxgn8c43-IN_.jpg
Black And Gray HP Laptop Computer,Rs. 15000,olx.in,https://www.olx.in/item/black-and-gray-hp-laptop-computer-ID1d9Eeb.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/fcd39zz32ilw1-IN/image;s=144x108;in_;slot=1;filename=fcd39zz32ilw1-IN_.jpg
**HP Mineral Silver i3 5th Generation/1Tb-1000gb/4gb/Win10/Graphics2gb,Rs. 17000,olx.in,https://www.olx.in/item/hp-mineral-silver-i3-5th-generation-1tb-1000gb-4gb-win10-graphics2gb-ID1jXYaF.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/7recxd03urf51-IN/image;s=144x108;in_;slot=1;filename=7recxd03urf51-IN_.jpg
Black And Gray HP Laptop,Rs. 13000,olx.in,https://www.olx.in/item/black-and-gray-hp-laptop-ID1mjxL7.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/h2sv7az61cu61-IN/image;s=144x108;in_;slot=1;filename=h2sv7az61cu61-IN_.jpg
hp core i5 slim Laptop 921516I757 RAM 4 gb hdd,Rs. 16499,olx.in,https://www.olx.in/item/hp-core-i5-slim-laptop-921516i757-ram-4-gb-hdd-ID1mjxy1.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/g7y9j7h1hmmr1-IN/image;s=144x108;in_;slot=1;filename=g7y9j7h1hmmr1-IN_.jpg
HP Pavilion i7 6GB 750GB 2GB 15.6 inch Laptop,Rs. 33000,olx.in,https://www.olx.in/item/hp-pavilion-i7-6gb-750gb-2gb-15-6-inch-laptop-ID1mjxsP.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/lgu0y7mcplpd3-IN/image;s=144x108;in_;slot=1;filename=lgu0y7mcplpd3-IN_.jpg
*Refurbished/Used Laptops :-* Hp probook 645.amd,Rs. 13000,olx.in,https://www.olx.in/item/refurbished-used-laptops-hp-probook-645-amd-ID1mjxnz.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/chk7nrxzkzke3-IN/image;s=144x108;in_;slot=1;filename=chk7nrxzkzke3-IN_.jpg
Intel core i3/i5/i7 dell HP Lenovo branded used,Rs. 7500,olx.in,https://www.olx.in/item/intel-core-i3-i5-i7-dell-hp-lenovo-branded-used-ID1kwfLd.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/03k3b68l3bcx1-IN/image;s=144x108;in_;slot=1;filename=03k3b68l3bcx1-IN_.jpg
HP AMD 8gb ram 1TB hardisk with graphics wifii 14,Rs. 10999,olx.in,https://www.olx.in/item/hp-amd-8gb-ram-1tb-hardisk-with-graphics-wifii-14-ID1kRoLj.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/6sro1v8yxx111-IN/image;s=144x108;in_;slot=1;filename=6sro1v8yxx111-IN_.jpg
HP i 5 4gb ram 320gb hardisk DVD wifii charger,Rs. 12999,olx.in,https://www.olx.in/item/hp-i-5-4gb-ram-320gb-hardisk-dvd-wifii-charger-ID1klwqr.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/vjmubhw8nuea-IN/image;s=144x108;in_;slot=1;filename=vjmubhw8nuea-IN_.jpg
White HP DeskJet 2131 Printer Box,Rs. 2099,olx.in,https://www.olx.in/item/white-hp-deskjet-2131-printer-box-ID1mjvuD.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/kqdjjhdod6gb-IN/image;s=144x108;in_;slot=3;filename=kqdjjhdod6gb-IN_.jpg
HP i7 4gb ram 1000gb hardisk DVD wifii charger,Rs. 14999,olx.in,https://www.olx.in/item/hp-i7-4gb-ram-1000gb-hardisk-dvd-wifii-charger-ID1jkOQD.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/f8isvibts8xn-IN/image;s=144x108;in_;slot=1;filename=f8isvibts8xn-IN_.jpg
i want to sell my full set HP computer for 1300 in nanganalur chennai,Rs. 1300,olx.in,https://www.olx.in/item/i-want-to-sell-my-full-set-hp-computer-for-1300-in-nanganalur-chennai-ID1mjvtd.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/1frl6lpuq7dg1-IN/image;s=144x108;in_;slot=1;filename=1frl6lpuq7dg1-IN_.jpg
--------HP Laptop------- *Pentium Quad core cpu,Rs. 17000,olx.in,https://www.olx.in/item/hp-laptop-pentium-quad-core-cpu-ID1mjvqF.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/z9nicrdbvmik3-IN/image;s=144x108;in_;slot=1;filename=z9nicrdbvmik3-IN_.jpg
Hp cor i3 3.0ghz 4gb ram 2gb graphics windows 10,Rs. 8500,olx.in,https://www.olx.in/item/hp-cor-i3-3-0ghz-4gb-ram-2gb-graphics-windows-10-ID1bgukt.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/k12k88g64v8h-IN/image;s=144x108;in_;slot=1;filename=k12k88g64v8h-IN_.jpg
HP i5 laptop 4gb ram 320gb hardisk DVD wifii,Rs. 12999,olx.in,https://www.olx.in/item/hp-i5-laptop-4gb-ram-320gb-hardisk-dvd-wifii-ID1kDuXF.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/hb567uvwlak53-IN/image;s=144x108;in_;slot=1;filename=hb567uvwlak53-IN_.jpg
Hp 4gb ram 320gb hardisk dvd wifii charger,Rs. 11500,olx.in,https://www.olx.in/item/hp-4gb-ram-320gb-hardisk-dvd-wifii-charger-ID1i0KYL.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/ci4v8191nz9b1-IN/image;s=144x108;in_;slot=1;filename=ci4v8191nz9b1-IN_.jpg
Silver Toshiba HDD2060 HDD 160 gb for Hp pavilion internal hard disk,Rs. 1650,olx.in,https://www.olx.in/item/silver-toshiba-hdd2060-hdd-160-gb-for-hp-pavilion-internal-hard-disk-ID1mjvbx.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/w95aex8tjxyi2-IN/image;s=144x108;in_;slot=1;filename=w95aex8tjxyi2-IN_.jpg
hp dell mini hp best price 90.34.50.40.45,Rs. 4500,olx.in,https://www.olx.in/item/hp-dell-mini-hp-best-price-90-34-50-40-45-ID1mjv87.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/2k2l7lh3s4c63-IN/image;s=144x108;in_;slot=1;filename=2k2l7lh3s4c63-IN_.jpg
Brand Hp i5/2gan/complet system,Rs. 13500,olx.in,https://www.olx.in/item/brand-hp-i5-2gan-complet-system-ID1h4ayr.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/yjsjnopmmjkt3-IN/image;s=144x108;in_;slot=1;filename=yjsjnopmmjkt3-IN_.jpg
Hp compaq 435 laptop. I want to sell my laptop it,Rs. 7000,olx.in,https://www.olx.in/item/hp-compaq-435-laptop-i-want-to-sell-my-laptop-it-ID1mjwZp.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/ynnf96mhenmh-IN/image;s=144x108;in_;slot=1;filename=ynnf96mhenmh-IN_.jpg
Arjun Novo 50 HP tractor 75 hours runned 2018,Rs. 635000,olx.in,https://www.olx.in/item/arjun-novo-50-hp-tractor-75-hours-runned-2018-ID1mjwXP.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/ayz6tk2rs5zl-IN/image;s=144x108;in_;slot=1;filename=ayz6tk2rs5zl-IN_.jpg
